pony	horse	synonyms
knife	handle	meronyms
knife	blade	meronyms
seafood	fish	hyponyms
chain	link	meronyms
seafood	shrimp	hyponyms
sleep	awake	antonyms
limited	unlimited	antonyms
book	cover	meronyms
prefix	suffix	antonyms
ice	water	meronyms
desirable	undesirable	antonyms
aquarium	fish	meronyms
chain	metal	meronyms
alligator	teeth	meronyms
similarity	difference	antonyms
seafood	lobster	hyponyms
alligator	tail	meronyms
aquarium	water	meronyms
horse	tail	meronyms
month	week	meronyms
storm	rain	meronyms
sleep	deep	hyponyms
eagle	beak	meronyms
volcano	lava	meronyms
water	water	meronyms
purse	zipper	meronyms
purse	handle	meronyms
shoe	sole	meronyms
month	day	meronyms
purse	strap	meronyms
similarity	same	hyponyms
seafood	crab	hyponyms
storm	wind	meronyms
pool	water	meronyms
honeybee	stinger	meronyms
electricity	power	synonyms
similarity	different	antonyms
plaster	paris	hyponyms
finger	nail	meronyms
school	classroom	meronyms
party	food	meronyms
four	quad	synonyms
mouth	teeth	meronyms
chicken	beak	meronyms
asian	chinese	hyponyms
male	penis	meronyms
asian	japanese	hyponyms
computer	mouse	meronyms
liquid	water	meronyms
knife	edge	meronyms
computer	keyboard	meronyms
alligator	mouth	meronyms
iphone	screen	meronyms
mouth	tongue	meronyms
hitch	trailer	hyponyms
eye	pupil	meronyms
car	engine	meronyms
finger	skin	meronyms
horse	mane	meronyms
purse	pocket	meronyms
storm	thunder	meronyms
rod	reel	meronyms
skin	hair	meronyms
rod	metal	meronyms
water	pipe	meronyms
grain	wheat	hyponyms
eye	iris	meronyms
spacecraft	engine	meronyms
pizza	cheese	meronyms
knife	tip	meronyms
pumpkin	stem	meronyms
immature	mature	antonyms
chain	clasp	meronyms
hunter	gun	meronyms
wake	sleep	antonyms
foul	ball	hyponyms
party	people	meronyms
park	grass	meronyms
peanut	shell	meronyms
spacecraft	rocket	meronyms
school	gym	meronyms
monkey	tail	meronyms
woody	forest	synonyms
tree	trunk	meronyms
month	hour	meronyms
sterile	dirty	antonyms
yard	grass	meronyms
desirable	ugly	antonyms
ice	cold	meronyms
bathroom	sink	meronyms
pester	annoy	synonyms
sleep	rem	hyponyms
solar	sun	meronyms
rod	line	meronyms
sleep	wake	antonyms
video	end	meronyms
eagle	head	meronyms
hitch	truck	hyponyms
bathroom	shower	meronyms
similarity	opposite	antonyms
eligible	ineligible	antonyms
lord	god	synonyms
video	beginning	meronyms
possess	own	synonyms
water	river	meronyms
storm	lightning	meronyms
desirable	unwanted	antonyms
town	people	meronyms
party	music	meronyms
bathroom	toilet	meronyms
female	hair	meronyms
needle	point	meronyms
horizontal	vertical	antonyms
turtle	shell	meronyms
restaurant	kitchen	meronyms
monkey	nose	meronyms
month	weekend	meronyms
refrigerator	door	meronyms
climate	cold	hyponyms
foul	good	antonyms
book	page	meronyms
shoe	tongue	meronyms
pizza	sauce	meronyms
aquarium	glass	meronyms
needle	eye	meronyms
book	binding	meronyms
possess	have	synonyms
seafood	salmon	hyponyms
water	faucet	meronyms
library	librarian	meronyms
computer	screen	meronyms
textbook	cover	meronyms
pester	bother	synonyms
stroll	walk	synonyms
month	second	meronyms
city	street	meronyms
face	nose	meronyms
fat	thin	antonyms
climb	mountain	hyponyms
refrigerator	freezer	meronyms
horse	head	meronyms
horse	nose	meronyms
water	lake	meronyms
book	spine	meronyms
apple	skin	meronyms
robot	head	meronyms
party	cake	meronyms
female	vagina	meronyms
foul	fair	antonyms
court	judge	meronyms
book	chapter	meronyms
skateboard	board	meronyms
violin	bow	meronyms
chicken	breast	meronyms
quarter	head	meronyms
relative	mother	hyponyms
month	monday	meronyms
train	engine	meronyms
yellow	sun	synonyms
mansion	house	hyponyms
skin	epidermis	meronyms
pipe	bowl	meronyms
rod	end	meronyms
month	minute	meronyms
relative	aunt	hyponyms
plaster	cement	hyponyms
computer	monitor	meronyms
spacecraft	fuel	meronyms
shoe	heel	meronyms
story	end	meronyms
city	people	meronyms
video	sound	meronyms
