BASE_WORD	INPUT_WORD	TYPE	RELATION_ID	IN_WORD_NET	CNT
pony	horse	synonyms	10713	0	87
woods	forest	synonyms	10826	1	68
knife	handle	meronyms	788	0	60
knife	blade	meronyms	787	1	60
seafood	fish	hyponyms	10639	0	53
chain	link	meronyms	11149	1	51
seafood	shrimp	hyponyms	10850	1	49
sleep	awake	antonyms	10750	0	49
limited	unlimited	antonyms	10590	1	49
woods	trees	meronyms	10618	0	47
book	cover	meronyms	897	1	47
writings	words	meronyms	10710	0	46
prefix	suffix	antonyms	10669	1	45
ice	water	meronyms	10746	0	44
month	days	meronyms	10445	0	43
desirable	undesirable	antonyms	10720	1	42
aquarium	fish	meronyms	81	0	40
chain	metal	meronyms	10715	0	40
alligator	teeth	meronyms	912	0	39
woods	trees	synonyms	10901	0	38
similarity	difference	antonyms	10706	0	38
seafood	lobster	hyponyms	10641	0	37
alligator	tail	meronyms	1258	0	36
chain	links	meronyms	10598	0	35
eagle	wings	meronyms	934	0	34
aquarium	water	meronyms	918	0	34
horse	tail	meronyms	690	0	33
month	week	meronyms	10726	1	33
storm	rain	meronyms	924	0	33
sleep	deep	hyponyms	10936	0	32
month	weeks	meronyms	10443	0	32
eagle	beak	meronyms	935	0	32
library	books	meronyms	283	0	31
volcano	lava	meronyms	325	0	31
water	water	meronyms	11325	1	31
marching	walking	synonyms	10722	0	31
purse	zipper	meronyms	887	0	31
purse	handle	meronyms	797	0	30
month	hours	meronyms	10447	0	30
shoe	sole	meronyms	1321	0	30
month	day	meronyms	10727	0	29
purse	strap	meronyms	799	0	29
alligator	eyes	meronyms	908	0	29
similarity	same	hyponyms	11082	0	29
seafood	crab	hyponyms	10849	0	29
storm	wind	meronyms	926	0	28
pool	water	meronyms	1019	0	28
honeybee	stinger	meronyms	570	0	28
eagle	eyes	meronyms	933	0	28
horse	legs	meronyms	695	0	28
honeybee	wings	meronyms	572	0	28
electricity	power	synonyms	11917	0	27
month	minutes	meronyms	10448	0	27
similarity	different	antonyms	11100	0	27
plaster	paris	hyponyms	10687	0	26
finger	nail	meronyms	970	0	26
school	classroom	meronyms	14	1	26
party	food	meronyms	904	0	26
four	quad	synonyms	11636	0	26
mouth	teeth	meronyms	386	1	25
chicken	beak	meronyms	1340	0	25
asian	chinese	hyponyms	10924	1	25
writings	paragraph	meronyms	10798	0	25
male	penis	meronyms	1085	0	24
asian	japanese	hyponyms	10923	1	24
computer	mouse	meronyms	988	0	24
liquid	water	meronyms	1458	0	24
knife	edge	meronyms	789	0	24
computer	keyboard	meronyms	990	1	24
book	pages	meronyms	1217	0	23
alligator	mouth	meronyms	910	0	23
iphone	screen	meronyms	1049	0	23
mouth	tongue	meronyms	383	1	23
inning	outs	meronyms	10794	0	23
looking	seeing	synonyms	10740	0	23
hitch	trailer	hyponyms	10831	0	23
eye	pupil	meronyms	949	0	23
pumpkin	seeds	meronyms	1104	0	23
car	engine	meronyms	975	0	23
finger	skin	meronyms	973	0	23
horse	mane	meronyms	693	0	22
purse	pocket	meronyms	886	0	22
city	buildings	meronyms	1221	0	22
chicken	wings	meronyms	1466	0	22
hitch	unhitch	antonyms	11284	1	22
storm	thunder	meronyms	922	0	22
eagle	feathers	meronyms	1311	0	22
woods	leaves	meronyms	11512	0	22
woods	forest	hyponyms	10725	0	22
alligator	scales	meronyms	909	0	22
woods	animals	meronyms	10620	0	22
desk	legs	meronyms	999	0	22
rod	reel	meronyms	11479	0	22
skin	hair	meronyms	458	0	21
rod	metal	meronyms	11272	0	21
shoe	laces	meronyms	1324	0	21
frequent	often	synonyms	8057	0	21
water	pipe	meronyms	10883	0	21
mouth	lips	meronyms	1133	0	21
grain	wheat	hyponyms	8093	1	21
dictionary	words	meronyms	204	0	21
skateboard	wheels	meronyms	1051	0	21
party	drinks	meronyms	907	0	21
eye	iris	meronyms	503	1	20
spacecraft	engine	meronyms	10737	0	20
pizza	cheese	meronyms	1144	0	20
honeybee	eyes	meronyms	566	0	20
knife	tip	meronyms	861	1	20
pumpkin	stem	meronyms	1105	0	20
immature	mature	antonyms	8839	1	20
chain	clasp	meronyms	10838	0	20
hunter	gun	meronyms	3017	0	19
wake	sleep	antonyms	10775	1	19
foul	ball	hyponyms	10693	0	19
party	people	meronyms	811	0	19
park	grass	meronyms	997	0	19
book	words	meronyms	48	0	19
tree	leaves	meronyms	51	0	19
peanut	shell	meronyms	10676	0	19
spacecraft	rocket	meronyms	10890	0	19
school	gym	meronyms	1273	0	19
monkey	tail	meronyms	2223	0	19
woody	forest	synonyms	10877	0	19
tree	trunk	meronyms	54	1	18
month	hour	meronyms	10878	0	18
table	legs	meronyms	1115	0	18
sterile	dirty	antonyms	8075	0	18
chicken	feathers	meronyms	947	0	18
yard	grass	meronyms	1092	0	18
desirable	ugly	antonyms	10827	0	18
writings	sentences	meronyms	11763	0	18
ice	cold	meronyms	11789	0	18
bathroom	sink	meronyms	1149	0	18
monkey	eyes	meronyms	1064	0	18
pester	annoy	synonyms	8109	0	18
sleep	rem	hyponyms	10907	1	18
solar	sun	meronyms	541	0	18
male	legs	meronyms	1086	0	18
rod	line	meronyms	10856	0	18
sleep	wake	antonyms	10945	1	18
video	end	meronyms	1207	0	18
eagle	head	meronyms	1310	0	18
hitch	truck	hyponyms	11289	0	18
saved	lost	antonyms	11985	1	18
violin	strings	meronyms	649	0	18
bathroom	shower	meronyms	1148	0	18
similarity	opposite	antonyms	10813	0	17
woods	grass	meronyms	11768	0	17
eligible	ineligible	antonyms	10770	1	17
lord	god	synonyms	10771	0	17
video	beginning	meronyms	1211	0	17
chicken	feet	meronyms	944	0	17
horse	eyes	meronyms	1604	0	17
possess	own	synonyms	8112	1	17
water	river	meronyms	10886	0	17
alligator	feet	meronyms	1257	0	17
storm	lightning	meronyms	1320	0	17
desirable	unwanted	antonyms	11145	0	17
town	people	meronyms	929	0	17
party	music	meronyms	1593	0	17
city	streets	meronyms	762	0	17
bathroom	toilet	meronyms	1145	1	17
female	hair	meronyms	1370	0	17
library	shelves	meronyms	281	0	17
town	streets	meronyms	928	0	17
chicken	legs	meronyms	946	0	17
park	trees	meronyms	995	0	17
needle	point	meronyms	1056	1	17
writings	paragraphs	meronyms	11762	0	17
horizontal	vertical	antonyms	8123	1	16
supported	unsupported	antonyms	10458	1	16
turtle	shell	meronyms	74	1	16
restaurant	kitchen	meronyms	136	0	16
monkey	nose	meronyms	1067	0	16
month	weekend	meronyms	10728	0	16
seafood	clams	hyponyms	10852	0	16
refrigerator	door	meronyms	86	0	16
face	eyes	meronyms	3185	0	16
climate	cold	hyponyms	8729	0	16
foul	good	antonyms	11174	0	16
book	page	meronyms	796	0	16
shoe	tongue	meronyms	941	1	16
pizza	sauce	meronyms	1140	0	16
robot	legs	meronyms	687	0	16
aquarium	glass	meronyms	1308	0	16
needle	eye	meronyms	2279	1	16
book	binding	meronyms	896	1	16
female	legs	meronyms	1373	0	16
possess	have	synonyms	8113	1	16
seafood	salmon	hyponyms	11560	0	16
school	students	meronyms	15	0	15
water	faucet	meronyms	10885	0	15
horse	hooves	meronyms	688	0	15
writings	sentence	meronyms	10837	0	15
library	librarian	meronyms	285	0	15
computer	screen	meronyms	989	0	15
textbook	cover	meronyms	1009	0	15
pester	bother	synonyms	8110	0	15
stroll	walk	synonyms	8136	0	15
airplane	wings	meronyms	1128	0	15
month	second	meronyms	10880	0	15
city	street	meronyms	499	0	15
face	nose	meronyms	3188	1	15
fat	thin	antonyms	8502	1	15
writings	letters	meronyms	10709	0	15
climb	mountain	hyponyms	10960	0	15
refrigerator	freezer	meronyms	88	0	15
horse	head	meronyms	1630	0	15
eagle	talons	meronyms	932	0	15
horse	nose	meronyms	938	0	15
monkey	hands	meronyms	1068	0	15
water	lake	meronyms	11437	0	15
game	rules	meronyms	411	0	15
book	spine	meronyms	794	1	15
apple	skin	meronyms	3201	0	15
robot	head	meronyms	684	0	15
party	cake	meronyms	1252	0	15
female	vagina	meronyms	1371	0	15
foul	fair	antonyms	10832	1	15
court	judge	meronyms	536	0	15
book	chapter	meronyms	1213	0	15
skateboard	board	meronyms	1052	0	15
tree	branches	meronyms	50	0	15
violin	bow	meronyms	647	0	14
localized	close	synonyms	11757	0	14
chicken	breast	meronyms	1339	1	14
quarter	head	meronyms	1346	0	14
chicken	eyes	meronyms	1463	0	14
relative	mother	hyponyms	8099	0	14
month	monday	meronyms	10729	0	14
female	eyes	meronyms	963	0	14
train	engine	meronyms	1179	1	14
yellow	sun	synonyms	11307	0	14
mansion	house	hyponyms	10760	0	14
skin	epidermis	meronyms	11521	1	14
pipe	bowl	meronyms	807	1	14
flag	stars	meronyms	1139	0	14
airplane	seats	meronyms	1127	0	14
rod	end	meronyms	11270	0	14
month	minute	meronyms	10879	0	14
wheel	spokes	meronyms	1330	0	14
apple	seeds	meronyms	3203	0	14
relative	aunt	hyponyms	8752	0	14
month	seconds	meronyms	10603	0	14
plaster	cement	hyponyms	10680	0	14
woods	forest	meronyms	11514	0	14
gym	weights	meronyms	1076	0	14
computer	monitor	meronyms	1516	1	14
spacecraft	fuel	meronyms	12079	0	14
shoe	heel	meronyms	943	1	14
story	end	meronyms	2851	0	14
city	people	meronyms	496	0	14
video	sound	meronyms	790	1	14
textbook	pages	meronyms	1010	0	14
chain	lock	meronyms	10714	0	14
peanut	nut	meronyms	10675	0	14
sleep	nap	hyponyms	10910	0	14
finger	knuckle	meronyms	972	1	14
pizza	crust	meronyms	1142	0	14
localized	local	synonyms	11278	0	14
greenhouse	plants	meronyms	1186	0	14
airport	runway	meronyms	735	0	13
hanging	hung	synonyms	10903	0	13
school	cafeteria	meronyms	1275	0	13
game	board	meronyms	1482	0	13
book	index	meronyms	44	0	13
restaurant	food	meronyms	134	0	13
eye	cornea	meronyms	505	1	13
robot	arms	meronyms	686	0	13
sentence	verb	meronyms	1035	0	13
monkey	mouth	meronyms	1066	0	13
computer	cpu	meronyms	1515	1	13
face	mouth	meronyms	3189	1	13
fat	skinny	antonyms	8833	0	13
downstream	upstream	antonyms	10461	1	13
sleep	light	hyponyms	10935	0	13
knife	point	meronyms	1205	1	13
video	audio	meronyms	894	1	13
body	lake	hyponyms	8148	0	13
relative	cousin	hyponyms	8745	1	13
car	wheel	meronyms	974	0	13
monkey	legs	meronyms	2504	0	13
immature	young	synonyms	11990	1	13
restaurant	tables	meronyms	132	0	13
eagle	tail	meronyms	1629	0	13
solar	earth	meronyms	1174	0	13
airplane	cockpit	meronyms	1126	0	13
protest	march	hyponyms	11955	0	13
skin	pores	meronyms	460	0	13
male	eyes	meronyms	1079	0	13
honeybee	legs	meronyms	571	0	13
inning	ball	meronyms	11184	0	13
purse	leather	meronyms	899	0	13
painting	paint	meronyms	1106	0	13
city	downtown	meronyms	1266	0	13
desk	top	meronyms	2078	0	12
monkey	ears	meronyms	2685	0	12
alarm	calm	antonyms	8078	0	12
climate	hot	hyponyms	8728	0	12
inning	top	meronyms	10699	1	12
writings	words	synonyms	11106	0	12
woods	trees	hyponyms	11982	0	12
prefix	ending	antonyms	11564	0	12
storm	hail	meronyms	1625	0	12
climate	tropical	hyponyms	8071	0	12
foul	nice	antonyms	11369	0	12
protest	peaceful	hyponyms	10917	0	12
female	breasts	meronyms	1369	0	12
flag	pole	meronyms	2943	0	12
relative	uncle	hyponyms	8751	0	12
dissolution	divorce	hyponyms	10811	0	12
marching	stomping	synonyms	10912	0	12
aquarium	rocks	meronyms	1307	0	12
stew	meat	meronyms	1103	0	12
painting	frame	meronyms	3400	0	12
apple	stem	meronyms	3204	0	12
appliance	oven	hyponyms	8119	0	12
male	hair	meronyms	1078	0	12
microwave	door	meronyms	1184	0	12
town	houses	meronyms	1441	0	12
grain	rice	hyponyms	8092	1	12
relative	sister	hyponyms	8097	0	12
obstruction	blockage	hyponyms	11352	1	12
turtle	head	meronyms	73	0	12
solar	planets	meronyms	544	0	12
horse	mouth	meronyms	692	0	12
video	middle	meronyms	1232	0	12
document	words	meronyms	1062	0	12
relative	father	hyponyms	8100	0	12
school	teachers	meronyms	18	0	12
tree	bark	meronyms	55	0	12
tree	roots	meronyms	56	0	12
alligator	skin	meronyms	1386	0	12
neighborhood	houses	meronyms	230	0	12
male	head	meronyms	3041	0	12
school	teacher	meronyms	1621	0	11
woody	trees	synonyms	11629	0	11
